PropertyId,SubAreaTypeId,SubArea
1,4,Southeast
2,4,Southeast
5,1,North
8,2,Northwest
9,4,Southeast
10,4,Southeast
11,4,Southeast
12,4,Southeast
15,3,Northeast
17,1,North
21,4,Southeast
22,5,Southwest
23,2,Northwest
24,5,Southwest
25,4,Southeast
27,4,Southeast
28,3,Northeast
31,5,Southwest
33,1,North
34,1,North
37,1,North
38,5,Southwest
39,5,Southwest
44,5,Southwest
45,2,Northwest
48,5,Southwest
49,3,Northeast
50,6,Downtown
51,5,Southwest
52,1,North
53,3,Northeast
55,5,Southwest
56,3,Northeast
57,4,Southeast
58,4,Southeast
59,4,Southeast
60,4,Southeast
61,4,Southeast
63,4,Southeast
67,4,Southeast
68,4,Southeast
89,4,Southeast
90,3,Northeast
92,5,Southwest
93,5,Southwest
97,1,North
99,6,Downtown
101,4,Southeast
104,4,Southeast
105,4,Southeast
106,4,Southeast
109,4,Southeast
110,4,Southeast
112,4,Southeast
113,4,Southeast
114,4,Southeast
116,4,Southeast
117,3,Northeast
118,5,Southwest
119,1,North
120,3,Northeast
123,4,Southeast
124,4,Southeast
126,2,Northwest
127,2,Northwest
129,5,Southwest
130,3,Northeast
132,5,Southwest
133,5,Southwest
134,5,Southwest
135,5,Southwest
136,5,Southwest
137,1,North
147,5,Southwest
148,1,North
149,4,Southeast
150,4,Southeast
152,3,Northeast
153,3,Northeast
154,4,Southeast
156,2,Northwest
156,5,Southwest
156,6,Downtown
166,5,Southwest
167,3,Northeast
170,5,Southwest
171,3,Northeast
172,1,North
173,4,Southeast
175,4,Southeast
178,5,Southwest
179,5,Southwest
180,1,North
183,5,Southwest
184,2,Northwest
185,2,Northwest
186,3,Northeast
189,5,Southwest
191,1,North
194,6,Downtown
195,3,Northeast
197,4,Southeast
200,5,Southwest
201,5,Southwest
202,3,Northeast
203,1,North
205,4,Southeast
207,3,Northeast
209,1,North
210,4,Southeast
213,4,Southeast
214,3,Northeast
215,1,North
216,4,Southeast
217,3,Northeast
218,4,Southeast
219,2,Northwest
220,3,Northeast
221,4,Southeast
222,5,Southwest
224,4,Southeast
225,4,Southeast
226,4,Southeast
231,4,Southeast
234,4,Southeast
236,5,Southwest
238,1,North
239,4,Southeast
240,2,Northwest
241,1,North
242,6,Downtown
243,6,Downtown
244,4,Southeast
245,4,Southeast
246,2,Northwest
247,1,North
248,3,Northeast
249,5,Southwest
251,5,Southwest
252,5,Southwest
259,1,North
261,3,Northeast
264,4,Southeast
265,6,Downtown
266,4,Southeast
268,3,Northeast
271,4,Southeast
275,4,Southeast
292,5,Southwest
402,3,Northeast
444,3,Northeast
447,2,Northwest
447,6,Downtown
449,4,Southeast
451,1,North
488,6,Downtown
490,4,Southeast
491,4,Southeast
492,4,Southeast
495,3,Northeast
497,1,North
501,4,Southeast
502,1,North
503,5,Southwest
506,1,North
507,1,North
510,5,Southwest
511,6,Downtown
512,4,Southeast
513,1,North
515,6,Downtown
523,5,Southwest
524,1,North
525,3,Northeast
527,1,North
528,4,Southeast
530,4,Southeast
531,5,Southwest
561,4,Southeast
562,5,Southwest
565,4,Southeast
568,3,Northeast
570,3,Northeast
573,3,Northeast
574,3,Northeast
575,3,Northeast
578,3,Northeast
580,3,Northeast
663,4,Southeast
666,4,Southeast
668,4,Southeast
669,4,Southeast
670,4,Southeast
674,6,Downtown
678,5,Southwest
679,4,Southeast
680,1,North
681,1,North
682,1,North
711,5,Southwest
714,1,North
715,4,Southeast
793,5,Southwest
811,4,Southeast
812,4,Southeast
814,3,Northeast
815,4,Southeast
820,1,North
824,1,North
825,1,North
832,4,Southeast
833,5,Southwest
834,3,Northeast
835,5,Southwest
839,2,Northwest
841,5,Southwest
844,5,Southwest
846,3,Northeast
849,5,Southwest
850,4,Southeast
852,4,Southeast
856,3,Northeast
857,3,Northeast
861,5,Southwest
862,3,Northeast
863,5,Southwest
864,3,Northeast
865,3,Northeast
866,5,Southwest
867,4,Southeast
868,4,Southeast
884,1,North
885,1,North
892,4,Southeast
894,2,Northwest
897,2,Northwest
900,5,Southwest
901,5,Southwest
906,1,North
907,1,North
916,5,Southwest
916,6,Downtown
917,4,Southeast
921,5,Southwest
925,4,Southeast
1010,3,Northeast
1016,5,Southwest
1055,4,Southeast
1106,1,North
1107,4,Southeast
1109,3,Northeast
1110,3,Northeast
1111,4,Southeast
1112,3,Northeast
1113,5,Southwest
1114,4,Southeast
1117,3,Northeast
1119,3,Northeast
1120,4,Southeast
1123,1,North
1124,1,North
1126,1,North
1127,2,Northwest
1128,2,Northwest
1130,4,Southeast
1132,5,Southwest
1135,4,Southeast
1140,2,Northwest
1140,6,Downtown
1198,5,Southwest
1200,5,Southwest
1202,4,Southeast
1216,4,Southeast
1217,5,Southwest
1218,1,North
1221,5,Southwest
1224,3,Northeast
1230,4,Southeast
1236,1,North
1237,4,Southeast
1239,5,Southwest
1255,4,Southeast
1258,1,North
1261,3,Northeast
1262,1,North
1273,2,Northwest
1273,6,Downtown
1275,4,Southeast
1276,4,Southeast
1277,3,Northeast
1278,4,Southeast
1280,3,Northeast
1281,3,Northeast
1282,4,Southeast
1283,4,Southeast
1285,4,Southeast
1286,3,Northeast
1291,3,Northeast
1325,4,Southeast
1326,3,Northeast
1329,1,North
1330,5,Southwest
1335,6,Downtown
1336,3,Northeast
1337,4,Southeast
1383,3,Northeast
1385,6,Downtown
1396,4,Southeast
1410,4,Southeast
1418,4,Southeast
1419,4,Southeast
1420,3,Northeast
1423,3,Northeast
1425,1,North
1430,1,North
1438,5,Southwest
1439,3,Northeast
1441,1,North
1448,2,Northwest
1449,4,Southeast
1450,4,Southeast
1451,4,Southeast
1452,1,North
1454,3,Northeast
1455,4,Southeast
1456,3,Northeast
1457,5,Southwest
1458,5,Southwest
1459,2,Northwest
1461,3,Northeast
1462,3,Northeast
1463,3,Northeast
1467,3,Northeast
1468,4,Southeast
1469,4,Southeast
1470,4,Southeast
1471,3,Northeast
